         601965921 function calls (599366529 primitive calls) in 540.396 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 19458495    3.238    0.000    3.238    0.000 ElementTree.py:1631(_fixname)
   309530    0.500    0.000    3.218    0.000 text.py:161(__init__)
   825395    0.979    0.000    3.216    0.000 numbers.py:103(is_date_format)
  2596804    2.143    0.000    3.158    0.000 base.py:413(find)
218553/218550    0.142    0.000    3.150    0.000 missing.py:47(isna)
   740125    0.883    0.000    3.130    0.000 dtypes.py:906(is_dtype)
   111068    0.869    0.000    3.122    0.000 managers.py:993(iget)
   861682    1.930    0.000    3.087    0.000 _dtype.py:321(_name_get)
218553/218550    0.288    0.000    3.007    0.000 missing.py:130(_isna)
   671288    0.934    0.000    2.997    0.000 dtypes.py:1119(is_dtype)
    23468    0.117    0.000    2.932    0.000 managers.py:1247(reindex_indexer)
   317991    1.692    0.000    2.905    0.000 cast.py:1187(maybe_castable)
    23445    0.209    0.000    2.706    0.000 managers.py:1309(_slice_take_blocks_ax0)
   220720    0.842    0.000    2.617    0.000 indexing.py:1133(_convert_to_indexer)
  2007740    1.636    0.000    2.604    0.000 managers.py:1622(internal_values)
   135494    0.151    0.000    2.584    0.000 managers.py:807(<listcomp>)
 17788949    2.554    0.000    2.554    0.000 {method 'encode' of 'str' objects}
    21740    0.388    0.000    2.516    0.000 sorting.py:257(nargsort)
   135498    0.201    0.000    2.433    0.000 managers.py:804(copy_func)
   548233    0.520    0.000    2.353    0.000 common.py:381(is_datetime64tz_dtype)
 17843063    2.338    0.000    2.338    0.000 {built-in method builtins.chr}
   135496    0.246    0.000    2.231    0.000 base.py:613(view)
46870/23435    0.090    0.000    2.136    0.000 series.py:4376(set_axis)
    45890    0.257    0.000    2.132    0.000 missing.py:193(_isna_ndarraylike)
    46874    0.253    0.000    2.122    0.000 array_ops.py:119(na_arithmetic_op)
   429170    1.249    0.000    2.117    0.000 common.py:224(is_sparse)
   909381    1.237    0.000    2.093    0.000 series.py:442(name)
46887/23452    0.108    0.000    2.082    0.000 generic.py:528(set_axis)
